PEAK_TIME,AREA.x,SITE,MONTH,TIME,LINE,DATE_HPLC,ROW,PPCP,AREA.y,AREA,CONCENTRATION
19.58257484,6988.89209,YB,SEPTEMBER,2,LINEC,20180831,ROW3,carbamezapine,11474.87402,-4485.981934,NA
2.546151876,1709.059937,BD,SEPTEMBER,2,LINEC,20180831,ROW3,cotinine,0,1709.059937,0.000533681
2.559476376,1576.709229,LK,AUGUST,2,LINEB,20180831,ROW3,cotinine,83381.05469,-81804.34546,NA
2.65154171,1106.912842,SA,SEPTEMBER,2,LINEC,20180831,ROW3,cotinine,0,1106.912842,0.00022645
2.6200068,1269.481445,SJ,SEPTEMBER,2,LINEB,20180831,ROW3,cotinine,83381.05469,-82111.57324,NA
3.896652222,1026.7146,BB,JULY,2,LINEE,20180902,ROW4,paraxanthine,0,1026.7146,0.064066349
3.913732052,1620.553101,BD,JULY,2,LINEE,20180902,ROW4,paraxanthine,0,1620.553101,0.135128228
3.781739473,1189.988159,BO,JULY,2,LINEC,20180831,ROW4,paraxanthine,0,1189.988159,0.081551853
3.798231363,2723.902832,DA,AUGUST,2,LINEB,20180831,ROW4,paraxanthine,0,2723.902832,0.315883547
3.806047916,1808.497925,DA,JULY,2,LINEB,20180831,ROW4,paraxanthine,0,1808.497925,0.161685281
3.793356657,1448.439697,HO,AUGUST,2,LINED,20180901,ROW4,paraxanthine,0,1448.439697,0.112463016
3.825459003,3750.320313,LK,AUGUST,2,LINEB,20180831,ROW4,paraxanthine,0,3750.320313,0.532864031
3.834748268,1326.555908,SA,AUGUST,2,LINED,20180901,ROW4,paraxanthine,0,1326.555908,0.097406224
3.874063969,1433.557495,SJ,AUGUST,2,LINEF,20180902,ROW4,paraxanthine,0,1433.557495,0.110579703
3.765422821,7415.158691,SJ,JULY,2,LINEF,20180902,ROW4,paraxanthine,0,7415.158691,1.624489127
3.831284046,2966.166504,WS,AUGUST,2,LINEC,20180901,ROW4,paraxanthine,0,2966.166504,0.363107577
3.851669312,3360.639404,YB,JULY,2,LINEF,20180902,ROW4,paraxanthine,0,3360.639404,0.445354224
22.44319916,1178.496704,BB,SEPTEMBER,2,LINEB,20180831,ROW4,warfarin,124772.0781,-123593.5814,NA
22.56622314,1163.81311,BD,JUNE,2,LINEF,20180902,ROW4,warfarin,0,1163.81311,0.000910913
22.43738365,5012.666016,DA,AUGUST,2,LINEB,20180831,ROW4,warfarin,124772.0781,-119759.4121,NA
22.54206467,5423.624023,DA,JULY,2,LINEB,20180831,ROW4,warfarin,124772.0781,-119348.4541,NA
22.44141006,10842.20117,DA,JUNE,2,LINEB,20180831,ROW4,warfarin,124772.0781,-113929.877,NA
23.0051403,1623.296753,WS,JULY,2,P2LINEA,20180903,ROW4,warfarin,0,1623.296753,0.001713704
2.678597927,2917.679688,BB,JULY,1,LINEC,20180918,ROW2,acetaminophen,0,2917.679688,0.001736049
2.696944237,8982.609375,BD,JULY,1,LINEC,20180918,ROW2,acetaminophen,0,8982.609375,0.027294445
2.299820185,1249.650757,BO,SEPTEMBER,1,P2LINEA,20180920,ROW2,acetaminophen,0,1249.650757,0.000217439
4.072543144,3744.185303,DA,JULY,1,LINED,20180919,ROW2,acetaminophen,0,3744.185303,0.003198522
2.677621365,85547.78125,SA,SEPTEMBER,1,LINEF,20180920,ROW2,acetaminophen,0,85547.78125,6.826313031
2.711466312,3283.480957,SJ,JULY,1,LINED,20180919,ROW2,acetaminophen,0,3283.480957,0.002318682
9.113559723,3049.960205,BB,AUGUST,1,P2LINEA,20180920,ROW4,caffeine,0,3049.960205,0.101141174
9.030311584,7460.758789,BB,JULY,1,LINEC,20180918,ROW4,caffeine,0,7460.758789,0.478188042
9.183130264,19674.70117,BB,JUNE,1,LINEF,20180920,ROW4,caffeine,0,19674.70117,2.576009337
8.972486496,5864.638672,BB,SEPTEMBER,1,P2LINEA,20180920,ROW4,caffeine,0,5864.638672,0.314808079
9.159184456,1185.14563,BD,AUGUST,1,LINEE,20180919,ROW4,caffeine,0,1185.14563,0.019588107
9.037112236,26931.83008,BD,JULY,1,LINEC,20180918,ROW4,caffeine,0,26931.83008,4.443791061
9.074320793,3041.581055,BD,JUNE,1,LINEC,20180918,ROW4,caffeine,0,3041.581055,0.100659107
8.983641624,3380.660156,BD,SEPTEMBER,1,LINEF,20180920,ROW4,caffeine,0,3380.660156,0.120939782
9.131793976,1933.820557,BO,AUGUST,1,LINEF,20180920,ROW4,caffeine,0,1933.820557,0.045843983
9.00823307,3062.400146,BO,JULY,1,LINED,20180919,ROW4,caffeine,0,3062.400146,0.101858666
9.136501312,7139.301758,BO,JUNE,1,LINEF,20180920,ROW4,caffeine,0,7139.301758,0.442977101
9.070886612,4856.92334,BO,SEPTEMBER,1,P2LINEA,20180920,ROW4,caffeine,0,4856.92334,0.226907374
9.165313721,18918.5957,DA,AUGUST,1,P2LINEA,20180920,ROW4,caffeine,0,18918.5957,2.406527809
9.097026825,4102.031738,DA,JULY,1,LINEC,20180918,ROW4,caffeine,0,4102.031738,0.16921692
9.085438728,9125.585938,DA,JULY,1,LINED,20180919,ROW4,caffeine,0,9125.585938,0.678449185
9.088496208,8908.984375,DA,JUNE,1,LINEB,20180917,ROW4,caffeine,0,8908.984375,0.650728118
9.030759811,4562.75,DA,SEPTEMBER,1,LINEE,20180919,ROW4,caffeine,0,4562.75,0.203575373
9.109730721,3734.414551,DU,AUGUST,1,LINEF,20180920,ROW4,caffeine,0,3734.414551,0.143757042
9.228404045,6334.653809,DU,JUNE,1,LINEB,20180918,ROW4,caffeine,0,6334.653809,0.359908308
8.942308426,2185.140869,DU,SEPTEMBER,1,LINEE,20180919,ROW4,caffeine,0,2185.140869,0.056680658
9.118178368,1442.335327,FI,AUGUST,1,LINEF,20180920,ROW4,caffeine,0,1442.335327,0.02754987
9.156433105,2857.968506,FI,JULY,1,LINED,20180919,ROW4,caffeine,0,2857.968506,0.090342176
9.027037621,4889.244629,FI,JUNE,1,LINEB,20180917,ROW4,caffeine,0,4889.244629,0.22953614
9.090783119,3234.300049,FI,SEPTEMBER,1,LINED,20180919,ROW4,caffeine,0,3234.300049,0.11199241
9.057670593,2877.119873,FLBS,JUNE,1,LINEB,20180917,ROW4,caffeine,0,2877.119873,0.091396117
9.06969738,4697.679688,FLBS,SEPTEMBER,1,LINEF,20180920,ROW4,caffeine,0,4697.679688,0.214143845
8.942219734,2861.518555,HO,AUGUST,1,LINEE,20180919,ROW4,caffeine,0,2861.518555,0.090537152
9.20464325,2282.254639,HO,JULY,1,LINEB,20180918,ROW4,caffeine,0,2282.254639,0.061126708
9.17298317,1817.156006,HO,JUNE,1,LINEC,20180918,ROW4,caffeine,0,1817.156006,0.041148222
9.035655975,1914.314209,HO,SEPTEMBER,1,LINEC,20180918,ROW4,caffeine,0,1914.314209,0.045043896
9.173116684,2973.243164,LK,AUGUST,1,LINEF,20180920,ROW4,caffeine,0,2973.243164,0.096764063
9.303368568,3163.430176,LK,JULY,1,LINEB,20180918,ROW4,caffeine,0,3163.430176,0.107765168
9.009331703,2185.992432,LK,JUNE,1,LINEC,20180918,ROW4,caffeine,0,2185.992432,0.056719024
9.117972374,2126.978027,LK,SEPTEMBER,1,LINED,20180919,ROW4,caffeine,0,2126.978027,0.054086327
8.900407791,105413.3281,SA,AUGUST,1,LINEE,20180919,ROW4,caffeine,0,105413.3281,47.52765349
9.123419762,6457.083008,SA,JULY,1,LINED,20180919,ROW4,caffeine,0,6457.083008,0.372074167
9.114608765,10185.43359,SA,JUNE,1,LINEB,20180917,ROW4,caffeine,0,10185.43359,0.821085363
8.951953888,11441.36621,SA,SEPTEMBER,1,LINEF,20180920,ROW4,caffeine,0,11441.36621,1.004815912
9.110429764,3115.91333,SJ,AUGUST,1,LINEE,20180919,ROW4,caffeine,0,3115.91333,0.10496961
9.115724564,9659.18457,SJ,JULY,1,LINED,20180919,ROW4,caffeine,0,9659.18457,0.748820003
9.274817467,17971.89063,SJ,JUNE,1,LINEC,20180918,ROW4,caffeine,0,17971.89063,2.201263113
9.100273132,5932.120117,SJ,SEPTEMBER,1,LINED,20180919,ROW4,caffeine,0,5932.120117,0.321125462
9.118166924,5501.070313,WB,JULY,1,LINED,20180919,ROW4,caffeine,0,5501.070313,0.281693738
8.942192078,5463.394043,WB,JUNE,1,LINEC,20180918,ROW4,caffeine,0,5463.394043,0.278351683
9.061757088,1470.890259,WB,SEPTEMBER,1,LINEC,20180918,ROW4,caffeine,0,1470.890259,0.028503979
9.120752335,4310.019531,WF,AUGUST,1,P2LINEA,20180920,ROW4,caffeine,0,4310.019531,0.184394305
9.340614319,16378.06152,WF,JULY,1,LINEB,20180918,ROW4,caffeine,0,16378.06152,1.873399897
9.290180206,2203.154053,WF,JUNE,1,LINEB,20180918,ROW4,caffeine,0,2203.154053,0.057494566
8.978034019,2399.13916,WF,SEPTEMBER,1,LINEE,20180919,ROW4,caffeine,0,2399.13916,0.066665534
9.057720184,4003.115723,WS,AUGUST,1,LINED,20180919,ROW4,caffeine,0,4003.115723,0.16219361
9.082447052,3249.795654,WS,JULY,1,LINED,20180919,ROW4,caffeine,0,3249.795654,0.11292587
9.438387871,1644.098877,WS,JUNE,1,LINEB,20180918,ROW4,caffeine,0,1644.098877,0.034583477
9.167538643,3155.546631,WS,SEPTEMBER,1,LINEF,20180920,ROW4,caffeine,0,3155.546631,0.1072992
8.953271866,1682.682373,YB,AUGUST,1,LINEE,20180919,ROW4,caffeine,0,1682.682373,0.036005104
8.931520462,3843.316162,YB,JULY,1,LINEC,20180918,ROW4,caffeine,0,3843.316162,0.151115425
